bmrb_id,author_family_name
884,Bradbury
884,Dodson
884,Ramesh
887,Anderson
887,Becktel
887,Dahlquist
888,Anderson
888,Becktel
888,Dahlquist
893,Cohn
893,McDonald
893,Noda
907,Allerhand
907,Oldfield
908,Allerhand
908,Oldfield
909,Allerhand
909,Oldfield
910,Allerhand
910,Oldfield
911,Allerhand
911,Oldfield
912,Allerhand
912,Oldfield
913,Allerhand
913,Oldfield
914,Allerhand
914,Oldfield
915,Dahlquist
915,Lowry
915,McIntosh
915,Redfield
915,Wand
916,Altman
916,Arrowsmith
916,Iyer
916,Jardetzky
916,Pachter
918,Shi
918,Tsai
918,Yan
919,Shi
919,Tsai
919,Yan
920,Shi
920,Tsai
920,Yan
922,Boyd
922,Gao
922,Pielak
922,Williams
923,Boyd
923,Gao
923,Pielak
923,Williams
932,Klevit
932,Reizer
932,Wittekind
934,Carter
934,MacLachlan
934,Reid
936,Boelens
936,Ganadu
936,Kaptein
936,Verheyden
937,Boelens
937,Ganadu
937,Kaptein
937,Verheyden
939,Chazin
939,Forsen
939,Kordel
939,Skelton
940,Chazin
940,Forsen
940,Kordel
940,Skelton
944,Shulman
944,Stellwagen
945,Shulman
945,Stellwagen
946,Allerhand
946,Oldfield
947,Allerhand
947,Oldfield
948,Dobson
948,Moore
948,Williams
949,Dobson
949,Moore
949,Williams
956,Gupta
956,Redfield
957,Gupta
957,Redfield
960,Robillard
960,Shulman
961,Robillard
961,Shulman
962,Robillard
962,Shulman
963,Robillard
963,Shulman
964,Robillard
964,Shulman
965,Robillard
965,Shulman
966,Robillard
966,Shulman
967,Robillard
967,Shulman
968,Timkovich
969,Timkovich
970,Timkovich
971,Timkovich
975,Bycroft
975,Fersht
975,Lau
975,Sheppard
979,Aviles
979,Vendrell
979,Wider
979,Wuthrich
994,Brange
994,Dunn
994,Kaarsholm
994,Lee
994,Roy
994,Thogersen
995,Brange
995,Dunn
995,Kaarsholm
995,Lee
995,Roy
995,Thogersen
996,Brange
996,Dunn
996,Kaarsholm
996,Lee
996,Roy
996,Thogersen
997,Brange
997,Dunn
997,Kaarsholm
997,Lee
997,Roy
997,Thogersen
998,Brange
998,Dunn
998,Kaarsholm
998,Lee
998,Roy
998,Thogersen
999,Brange
999,Dunn
999,Kaarsholm
999,Lee
999,Roy
999,Thogersen
1000,Brange
1000,Dunn
1000,Kaarsholm
1000,Lee
1000,Roy
1000,Thogersen
1001,Brange
1001,Dunn
1001,Kaarsholm
1001,Lee
1001,Roy
1001,Thogersen
1002,Brange
1002,Dunn
1002,Kaarsholm
1002,Lee
1002,Roy
1002,Thogersen
1003,Brange
1003,Dunn
1003,Kaarsholm
1003,Lee
1003,Roy
1003,Thogersen
1004,Brange
1004,Dunn
1004,Kaarsholm
1004,Lee
1004,Roy
1004,Thogersen
1005,Brange
1005,Dunn
1005,Kaarsholm
1005,Lee
1005,Roy
1005,Thogersen
1006,Brange
1006,Dunn
1006,Kaarsholm
1006,Lee
1006,Roy
